PDB	Cluster
D044M1-01_1qrn_prepack_0001_ensemble_dock_00667	0
D044M1-01_1qrn_prepack_0001_ensemble_dock_01149	2
D044M1-01_1qrn_prepack_0001_ensemble_dock_00807	0
D044M1-01_1qrn_prepack_0001_ensemble_dock_00031	2
D044M1-01_1qrn_prepack_0001_ensemble_dock_00024	2
D044M1-01_1qrn_prepack_0001_ensemble_dock_01635	0
D044M1-01_1qrn_prepack_0001_ensemble_dock_01382	2
D044M1-01_1qrn_prepack_0001_ensemble_dock_00168	0
D044M1-01_1qrn_prepack_0001_ensemble_dock_00705	0
D044M1-01_1qrn_prepack_0001_ensemble_dock_00063	1
D044M1-01_1qrn_prepack_0001_ensemble_dock_01215	2
D044M1-01_1qrn_prepack_0001_ensemble_dock_01625	1
D044M1-01_1qrn_prepack_0001_ensemble_dock_00505	2
D044M1-01_1qrn_prepack_0001_ensemble_dock_01175	0
D044M1-01_1qrn_prepack_0001_ensemble_dock_00836	2
D044M1-01_1qrn_prepack_0001_ensemble_dock_00554	1
D044M1-01_1qrn_prepack_0001_ensemble_dock_00642	1
D044M1-01_1qrn_prepack_0001_ensemble_dock_01631	0
D044M1-01_1qrn_prepack_0001_ensemble_dock_00808	2
D044M1-01_1qrn_prepack_0001_ensemble_dock_01493	2
D044M1-01_1qrn_prepack_0001_ensemble_dock_00186	1
D044M1-01_1qrn_prepack_0001_ensemble_dock_01503	0
D044M1-01_1qrn_prepack_0001_ensemble_dock_00270	1
D044M1-01_1qrn_prepack_0001_ensemble_dock_00305	1
D044M1-01_1qrn_prepack_0001_ensemble_dock_01379	0
D044M1-01_1qrn_prepack_0001_ensemble_dock_00331	2
D044M1-01_1qrn_prepack_0001_ensemble_dock_01324	2
D044M1-01_1qrn_prepack_0001_ensemble_dock_00026	1
D044M1-01_1qrn_prepack_0001_ensemble_dock_00117	0
D044M1-01_1qrn_prepack_0001_ensemble_dock_01768	1
D044M1-01_1qrn_prepack_0001_ensemble_dock_01134	0
D044M1-01_1qrn_prepack_0001_ensemble_dock_00098	2
D044M1-01_1qrn_prepack_0001_ensemble_dock_00530	1
D044M1-01_1qrn_prepack_0001_ensemble_dock_01205	1
D044M1-01_1qrn_prepack_0001_ensemble_dock_00501	0
D044M1-01_1qrn_prepack_0001_ensemble_dock_01113	1
D044M1-01_1qrn_prepack_0001_ensemble_dock_00541	0
D044M1-01_1qrn_prepack_0001_ensemble_dock_00614	1
D044M1-01_1qrn_prepack_0001_ensemble_dock_00210	0
D044M1-01_1qrn_prepack_0001_ensemble_dock_01420	1
D044M1-01_1qrn_prepack_0001_ensemble_dock_01632	0
D044M1-01_1qrn_prepack_0001_ensemble_dock_00996	1
D044M1-01_1qrn_prepack_0001_ensemble_dock_00201	1
D044M1-01_1qrn_prepack_0001_ensemble_dock_00081	2
D044M1-01_1qrn_prepack_0001_ensemble_dock_00311	0
D044M1-01_1qrn_prepack_0001_ensemble_dock_00405	1
D044M1-01_1qrn_prepack_0001_ensemble_dock_00569	1
D044M1-01_1qrn_prepack_0001_ensemble_dock_00698	1
D044M1-01_1qrn_prepack_0001_ensemble_dock_00947	0
D044M1-01_1qrn_prepack_0001_ensemble_dock_00711	2
D044M1-01_1qrn_prepack_0001_ensemble_dock_01053	1
D044M1-01_1qrn_prepack_0001_ensemble_dock_00856	0
D044M1-01_1qrn_prepack_0001_ensemble_dock_00342	0
D044M1-01_1qrn_prepack_0001_ensemble_dock_00951	0
D044M1-01_1qrn_prepack_0001_ensemble_dock_00373	1
D044M1-01_1qrn_prepack_0001_ensemble_dock_00849	0
D044M1-01_1qrn_prepack_0001_ensemble_dock_01035	0
D044M1-01_1qrn_prepack_0001_ensemble_dock_01181	1
D044M1-01_1qrn_prepack_0001_ensemble_dock_01040	1
D044M1-01_1qrn_prepack_0001_ensemble_dock_01005	0
D044M1-01_1qrn_prepack_0001_ensemble_dock_00478	0
D044M1-01_1qrn_prepack_0001_ensemble_dock_00057	2
D044M1-01_1qrn_prepack_0001_ensemble_dock_01016	2
D044M1-01_1qrn_prepack_0001_ensemble_dock_00355	0
D044M1-01_1qrn_prepack_0001_ensemble_dock_00287	0
D044M1-01_1qrn_prepack_0001_ensemble_dock_00931	0
D044M1-01_1qrn_prepack_0001_ensemble_dock_00627	2
D044M1-01_1qrn_prepack_0001_ensemble_dock_01476	2
D044M1-01_1qrn_prepack_0001_ensemble_dock_00773	0
D044M1-01_1qrn_prepack_0001_ensemble_dock_01198	0
D044M1-01_1qrn_prepack_0001_ensemble_dock_01407	1
D044M1-01_1qrn_prepack_0001_ensemble_dock_00868	0
D044M1-01_1qrn_prepack_0001_ensemble_dock_01498	0
D044M1-01_1qrn_prepack_0001_ensemble_dock_00379	1
D044M1-01_1qrn_prepack_0001_ensemble_dock_00771	1
D044M1-01_1qrn_prepack_0001_ensemble_dock_00972	0
D044M1-01_1qrn_prepack_0001_ensemble_dock_01514	0
D044M1-01_1qrn_prepack_0001_ensemble_dock_01268	1
D044M1-01_1qrn_prepack_0001_ensemble_dock_00317	0
D044M1-01_1qrn_prepack_0001_ensemble_dock_00346	1
D044M1-01_1qrn_prepack_0001_ensemble_dock_01098	1
D044M1-01_1qrn_prepack_0001_ensemble_dock_01190	1
D044M1-01_1qrn_prepack_0001_ensemble_dock_01692	0
D044M1-01_1qrn_prepack_0001_ensemble_dock_00489	1
D044M1-01_1qrn_prepack_0001_ensemble_dock_01533	1
D044M1-01_1qrn_prepack_0001_ensemble_dock_00139	1
D044M1-01_1qrn_prepack_0001_ensemble_dock_01292	0
D044M1-01_1qrn_prepack_0001_ensemble_dock_01654	0
D044M1-01_1qrn_prepack_0001_ensemble_dock_00871	1
D044M1-01_1qrn_prepack_0001_ensemble_dock_01025	1
D044M1-01_1qrn_prepack_0001_ensemble_dock_00547	1
D044M1-01_1qrn_prepack_0001_ensemble_dock_01658	0
D044M1-01_1qrn_prepack_0001_ensemble_dock_01139	1
D044M1-01_1qrn_prepack_0001_ensemble_dock_01152	1
D044M1-01_1qrn_prepack_0001_ensemble_dock_01745	0
D044M1-01_1qrn_prepack_0001_ensemble_dock_00482	0
D044M1-01_1qrn_prepack_0001_ensemble_dock_00393	0
D044M1-01_1qrn_prepack_0001_ensemble_dock_00874	2
D044M1-01_1qrn_prepack_0001_ensemble_dock_00617	0
D044M1-01_1qrn_prepack_0001_ensemble_dock_00434	1
D044M1-01_1qrn_prepack_0001_ensemble_dock_01568	0
D044M1-01_1qrn_prepack_0001_ensemble_dock_01628	0
D044M1-01_1qrn_prepack_0001_ensemble_dock_01539	0
D044M1-01_1qrn_prepack_0001_ensemble_dock_00138	0
D044M1-01_1qrn_prepack_0001_ensemble_dock_01777	1
D044M1-01_1qrn_prepack_0001_ensemble_dock_00416	0
D044M1-01_1qrn_prepack_0001_ensemble_dock_01657	2
D044M1-01_1qrn_prepack_0001_ensemble_dock_01475	2
D044M1-01_1qrn_prepack_0001_ensemble_dock_00437	2
D044M1-01_1qrn_prepack_0001_ensemble_dock_01612	1
D044M1-01_1qrn_prepack_0001_ensemble_dock_01597	1
